Program Name,Program Phone,Program Email,Program Address 1,Program Address 2,Town,Program Zip,EEC Regional Office Address:,Program Contact Name,License First Issue Date,Most Recently Renewed,License Number,Capacity,CCRR Name,CCRR Phone,Program Type
"Woods Hole Child Center, Inc",(508) 548-1773,whchildcenter@gmail.com,93 Harbor Hill Rd,,Woods Hole,02543-1220,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Anne Clarkin,4/10/89,3/21/25,9167178,20,Child Care Network,(508) 778-9470,Large Group
Woods Hole Day Care Cooperative,(508) 548-9473,woodsholedaycarecooperative@gmail.com,24 School Street,,Woods Hole,02543-1127,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Lily Kerxhalli-Kleinfield,9/7/06,6/28/24,9143763,29,Child Care Network,(508) 778-9470,Large Group
YMCA Afterschool - Teaticket,(774) 994-2529,tbrognano@ymcacapecod.org,45 Maravista Avenue Ext,,East Falmouth,2536,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Thomas Brognano,8/31/17,8/31/23,9125406,39,Child Care Network,(508) 778-9470,Large Group
YMCA Cape Cod - North Falmouth Early Learning Center,(508) 392-9587,kloonan@ymcacapecod.org,155 Old Main Road,,North Falmouth,2556,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Nancy Correia,2/11/15,10/25/23,9127288,28,Child Care Network,(508) 778-9470,Large Group
YMCA Cape Cod Cotuit Early Learning Center,(508) 362-6500,jwatkins@ymcacapecod.org,4978 Falmouth Rd,,Cotuit,2635,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Denise Graham-Reardon,2/28/21,8/31/23,9124332,29,Child Care Network,(508) 778-9470,Large Group
YMCA Cape Cod Falmouth Learning Center,(774) 994-7791,kloonan@ymcacapecod.org,67 B Ter Heun Drive,,Falmouth,2540,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kelley Loonan,7/23/19,1/23/24,9133726,29,Child Care Network,(508) 778-9470,Large Group
YMCA Cape Cod Hyannis Village Marketplace Early Learning Center,(508) 362-6500,dgraham-reardon@ymcacapecod.org,261 STEVENS STREET,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Jamie Macleod,8/31/23,2/29/24,9139285,65,Child Care Network,(508) 778-9470,Large Group
YMCA Cape Cod SACC - East Falmouth,(774) 994-2529,tbrognano@ymcacapecod.org,33 Davisville Road,,East Falmouth,2536,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Thomas Brognano,8/31/17,8/31/23,9125408,52,Child Care Network,(508) 778-9470,Large Group
YMCA Cape Cod SACC -Mullen Hill Elementary,(774) 994-2529,tbrognano@ymcacapecod.org,130 Katherine Lee Bates Road,,Falmouth,2668,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Thomas Brognano,8/31/17,8/31/23,9125429,65,Child Care Network,(508) 778-9470,Large Group
YMCA Cape Cod SACC -North Falmouth Elementary,(774) 994-2529,tbrognano@ymcacapecod.org,62 Old Main Road,,North Falmouth,2556,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Thomas Brognano,8/31/17,8/31/23,9125433,65,Child Care Network,(508) 778-9470,Large Group
YMCA of Martha's Vineyard After School Program,(508) 696-7171,jpowell@ymcamv.org,111R Edgartown Vineyard Haven Rd,,Oak Bluffs,2557,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Jessey Powell,9/13/09,4/5/24,9139062,52,Child Care Network,(508) 778-9470,Large Group
YMCA Sippican Child Care Program,(774) 762-3710,pkennedy@ymcasouthcoast.org,16 Spring Street,,Marion,02738-1519,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Patty Kennedy,9/20/01,2/22/24,9140631,65,Child Care Works,(508) 999-9930,Large Group
YWkids - YWCA SE MA,(508) 525-7961,adavidson@ywcasema.org,20 South Sixth St.,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Andrea Davidson,9/11/19,9/11/23,9128597,52,Child Care Works,(508) 999-9930,Large Group
"Zampiere, Rosangela",(508) 292-8773,rosezampiere25@hotmail.com,27 Hamden Circle,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/27/17,2/27/23,9115681,6,Child Care Network,(508) 778-9470,Family Child Care
